אֵאוֹגֶנִיקָה	QeQWgE!niqaH	eoge!nika
סָטָה	saTa!H	sata!
סְטָו	s3Ta!w	sta!v
סְטוּדְיוֹ	sTu!dyW	stu!djo
סְטוּדֵנְט	sTude!nT	stude!nt
סְטוּדֶנְטְיָאלִי	sTudEnTya!Nli	studentja!li
סָטוּי	saTu!y	satu!j
סִטּוּל	sI_Tu!l	situ!l
סְטוֹפּ	sTW!_p	sto!p
סָטוּף	saTu!f	satu!f
סְטוּץ	sTu!Z	stu!ts
סְטוֹקְהוֹלְם	sTWqhW!lm	stokho!lm
סָטוּר	saTu!r	satu!r
סְטָטוּטוֹרִי	sTaTuTW!ri	statuto!ri
סְטָטוּס	sTa!Tus	sta!tus
סְטָטוֹסְקוֹפּ	sTaTWsqW!_p	statosko!p
סְטָטִי	sTa!Ti	sta!ti
סְטָטִיסְט	sTaTi!sT	stati!st
סְטָטִיסְטִי	sTaTi!sTi	stati!sti
סְטָטִיסְטִיקַאי	s3TaTis3TiqA!Ny	statistika!j
סְטָטִיסְטִיקָה	sTaTi!sTiqaH	stati!stika
סְטָטִיקָה	s3Ta!TiqaH	sta!tika
סְטִיגְמָה	sTi!gmaH	sti!gma
סְטִיָּה	s3TI_ya!H	stija!
סְטִיפָה	s3Tifa!H	stifa!
סְטִיפֶּנְדְּיָה	sTi_pE!nḍyaH	stipe!ndja
סְטִיק	sTi!q	sti!k
סְטֵיְק	sTe!yq	ste!jk
סְטִיקֶר	sTi!qEr	sti!ker
סְטִירָה	s3Tira!H	stira!
סָטִירָה	saTi!raH	sati!ra
סָטִירִי	saTi!ri	sati!ri
סָטִירִיקָן	saTiriqa!n	satirika!n
סְטָלִינִיזְם	sTalini!zm	stalini!zm
סְטָלִינִיסְט	sTalini!sT	stalini!st
סְטָלִינִיסְטִי	sTalini!sTi	stalini!sti
סְטֶנְד	sTE!nd	ste!nd
סְטֶנְדְאַפּ	sTE!ndQA_p	ste!ndʔap
סְטֶנְדְאַפִּיסְט	s3TEnd3QA_pi!sT	stendapi!st
סְטֶנְדֶּר	sTE!nḍEr	ste!nder
סְטַנְדַּרְט	sTA!nḍArT	sta!ndart
סְטַנְדַּרְטִי	sTAnḍA!rTi	standa!rti
סְטַנְדַּרְטִיזַצְיָה	sTAnḍArTizA!ZyaH	standartiza!tsja
סְטֶנוֹגְרָמָה	sTEnWgra!maH	stenogra!ma
סְטֶנוֹגְרָפִי	sTEnWgra!fi	stenogra!fi
סְטֶנוֹגְרַפְיָה	sTEnWgrA!fyaH	stenogra!fja
סִטֵּר	sI_Te!r	site!r
סָטַר	saTA!r	sata!r
סְטֵרֵאוֹ	sTe!reQW	ste!reo
סְטֶרֵאוֹטִיפּ	sTEreQWTi!_p	stereoti!p
סְטֶרֵאוֹטִיפִּי	sTEreQWTi!_pi	stereoti!pi
סְטֶרֵאוֹכִימְיָה	sTEreQWxi!myaH	stereoxi!mja
סְטֶרֵאוֹמֶטְרְיָה	sTEreQWmE!TryaH	stereome!trja
סְטֵרֵאוֹסְקוֹפּ	sTereQWsqW!_p	stereosko!p
סְטֵרֵאוֹסְקוֹפְּיָה	sTereQWsqW!_pyaH	stereosko!pja
סְטֵרֵאוֹפוֹנִי	sTereQWfW!ni	stereofo!ni
סְטֶרֵאוֹפוֹנִי	sTEreQWfW!ni	stereofo!ni
סְטֶרֵאוֹפוֹנְיָה	sTEreQWfW!nyaH	stereofo!nja
סְטֶרוֹאִיד	sTErWQi!d	steroi!d
סְטְרוֹנְצְיוּם	sTrW!nZyum	stro!ntsjum
סְטְרוּקְטוּרָה	sTruqTu!raH	struktu!ra
סְטְרוּקְטוּרָלִי	sTruqTura!li	struktura!li
סְטְרוּקְטוּרָלִיזְם	sTruqTurali!zm	strukturali!zm
סְטְרוּקְטוּרָלִיסְט	s3T3ruq3Turali!sT	strukturali!st
סְטְרוּקְטוּרָלִיסְטִי	sTruqTurali!sTi	strukturali!sti
סְטַרְטְאַפִּיסְט	sTArTQA_pi!sT	startʔapi!st
סְטְרָטוֹסְפֵרָה	sTraTWsfe!raH	stratosfe!ra
סְטְרָטוֹסְפֶרָה	sTraTWsfE!raH	stratosfe!ra
סִטְרִי	sITri!	sitri!
סְטְרֵיְט	sTre!yT	stre!jt
סְטְרִיכְנִין	sTrixni!n	strixni!n
סְטֶרִילִי	sTEri!li	steri!li
סְטֶרִילִיּוּת	sTEri!lI_yut	steri!lijut
סְטֶרִילִיזַצְיָה	sTErilizA!ZyaH	steriliza!tsja
סְטְרִיפְּטִיז	sTri_pTi!z	stripti!z
סְטְרֶפְּלֶס	sTrE!_plEs	stre!ples
סְטְרֵצ׳	sTre!C	stre!tʃ
סְטֶתוֹסְקוֹפּ	sTEtWsqW!_p	stetosko!p
סִי	si!	si!
סִיאַנְס	siQA!ns	sia!ns
סִיב	si!v	si!v
סִיבוּב	sivu!v	sivu!v
סִיבוּבִי	sivuvi!	sivuvi!
סִיבִי	sivi!	sivi!
סִיבִּיר	si_bi!r	sibi!r
סִיבִית	sivi!t	sivi!t
סִיבִּית	si_bi!t	sibi!t
סַיְבֶּר	sA!ybEr	sa!jber
סְיָג	s3ya!g	sja!g
סִיג	si!g	si!g
סִיֵּג	sI_ye!g	sije!g
סֻיַּג	sU_yA!g	suja!g
סִיגְנָל	signa!l	signa!l
סִיגָר	siga!r	siga!r
סִיגַרְיָה	sigA!ryaH	siga!rja
סִיד	si!d	si!d
סִיֵּד	sI_ye!d	sije!d
סַיָּד	sA_ya!d	saja!d
סֻיַּד	sU_yA!d	suja!d
סַיָּדוּת	sA_yadu!t	sajadu!t
סִידָן	sida!n	sida!n
סַיְדֶּר	sA!yḍEr	sa!jder
סִיּוּג	sI_yu!g	siju!g
סִיּוּד	sI_yu!d	siju!d
סִיּוּט	sI_yu!T	siju!t
סִיּוּם	sI_yu!m	siju!m
סִיוָן	siwa!n	siva!n
סִיּוּעַ	sI_yu!RÁ	siju!a
סִיּוּף	sI_yu!f	siju!f
סִיּוּר	sI_yu!r	siju!r
סִיזִיפִי	sizi!fi	sizi!fi
סְיָח	s3ya!j	sja!x
סִיֵּט	sI_ye!T	sije!t
סִיטוּאַצְיָה	siTuQA!ZyaH	situa!tsja
סִיטוֹנָאוּת	siTWnaQu!t	sitonau!t
סִיטוֹנַאי	siTWnA!Ny	sitona!j
סִיטוֹנַאִית	siTWnAQi!t	sitonai!t
סִיטוֹנוּת	siTWnu!t	sitonu!t
סִיטְקוֹם	si!TqWm	si!tkom
סִיכָה	sixa!H	sixa!
סִילָאן	sila!Nn	sila!n
סִילָבּוּס	si!la_bus	si!labus
סִילְבֶסְטֶר	sil3vE!sTEr	silve!ster
סִילוֹן	silW!n	silo!n
סִילוֹנִי	silWni!	siloni!
סִילִיקוֹן	si!liqWn	si!likon
סִיֵּם	sI_ye!m	sije!m
סֻיַּם	sU_yA!m	suja!m
סִימְבּוֹל	si!mbWl	si!mbol
סִימְבּוֹלִי	simbW!li	simbo!li
סִימְבּוֹלִיּוּת	simbW!lI_yut	simbo!lijut
סִימְבּוֹלִיזְם	simbWli!zm	simboli!zm
סִימְבּוֹלִיקָה	simbW!liqaH	simbo!lika
סִימְבְּיוֹזָה	simb3yW!zaH	simbjo!za
סִימְבְּיוֹטִי	simbyW!Ti	simbjo!ti
סִימוּלָטוֹר	simula!TWr	simula!tor
סִימוּלְטָנִי	simulTa!ni	simulta!ni
סִימוּלְטָנִיּוּת	simulTa!nI_yut	simulta!nijut
סִימוּלַצְיָה	simulA!ZyaH	simula!tsja
סִימֶטְרִי	simE!Tri	sime!tri
סִימֶטְרְיָה	simE!TryaH	sime!trja
סִימֶטְרִיָּה	simE!TrI_yaH	sime!trija
סִימָן	sima!n	sima!n
סִימָנִיָּה	simanI_ya!H	simanija!
סִימְפּוֹזְיוֹן	simpWzyW!n	simpozjo!n
סִימְפוֹנִי	simfW!ni	simfo!ni
סִימְפוֹנְיָה	sim3fW!n3yaH	simfo!nja
סִימְפְּטוֹם	simpTW!m	simpto!m
סִימְפְּטוֹמָטִי	simpTWma!Ti	simptoma!ti
סִימְפָּתִי	simpa!ti	simpa!ti
סִימְפַּתְיָה	simpA!tyaH	simpa!tja
סִיֹּמֶת	sI_yo!mEt	sijo!met
סִין	si!n	si!n
סִינְגּוּלָרִי	sinǵula!ri	singula!ri
סִינְגּוּלָרִיוּת	sinǵula!rIyut	singula!rijut
סִינְגֶל	si!n3gEl	si!ngel
סִינְגָּפּוּר	sinǵa_pu!r	singapu!r
סִינְדִּיקָט	sinḍiqa!T	sindika!t
סִינְדִּיקָלִיזְם	sinḍiqali!zm	sindikali!zm
סִינְדִּיקַצְיָה	sinḍiqA!ZyaH	sindika!tsja
סִינְדְּרוֹם	sinḍrW!m	sindro!m
סִינוֹלוֹגְיָה	sinWlW!gyaH	sinolo!gja
סִינוֹנִים	sinWni!m	sinoni!m
סִינוֹנִימִי	sinWni!mi	sinoni!mi
סִינוּס	si!nus	si!nus
סִינוּסִיטִיס	sinusi!Tis	sinusi!tis
סִינוֹפְּטִי	sinW!_pTi	sino!pti
סִינוֹפְּסִיס	sinW!_psis	sino!psis
סִינְטָה	si!nTaH	si!nta
סַיְנְטוֹלוֹגְיָה	sAynTWlW!gyaH	sajntolo!gja
סִינְטַקְטִי	sinTA!qTi	sinta!kti
סִינְטַקְסִיס	sinTA!qsis	sinta!ksis
סִינַי	sinA!y	sina!j
סִינִית	si!nit	si!nit
סִינְכְרוּן	sinx3ru!n	sinxru!n
סִינְכְרוֹנִי	sinxrW!ni	sinxro!ni
סִינְכְרוֹנִיזַצְיָה	sinxrWnizA!ZyaH	sinxroniza!tsja
סִינֵמָה	si!nemaH	si!nema
סִינֶמָה	si!nEmaH	si!nema
סִינֶמָטוֹגְרַפְיָה	sinEmaTWgrA!fyaH	sinematogra!fja
סִינֶמָטֶק	sinEmaTE!q	sinemate!k
סִינֶמַסְקוֹפּ	sinEmAsqW!_p	sinemasko!p
סִינֶסְתֶזְיָה	sinEstE!zyaH	sineste!zja
סִינַפְּסָה	sinA!_p3saH	sina!psa
סִינֶקְדּוֹכָה	sinEqḍW!xaH	sinekdo!xa
סִינְקוֹפָּה	sinqW!_paH	sinko!pa
סִינְקְרֶטִי	sinqrE!Ti	sinkre!ti
סִינְקְרֵטִיזְם	sinqreTi!zm	sinkreti!zm
סִינָר	sina!r	sina!r
סִינֶרְגְּיָה	sinE!rǵyaH	sine!rgja
סִינָרִית	sinari!t	sinari!t
סִינְתֵּזָה	sinṭe!zaH	sinte!za
סִינְתֵּטִי	sinṭe!Ti	sinte!ti
סִינְתֶּטִי	sinṭE!Ti	sinte!ti
סִינְתִּיסַיְזֶר	sin3ṭisA!yzEr	sintisa!jzer
סִיס	si!s	si!s
סַיָּס	sA_ya!s	saja!s
סַיָּסוּת	sA_yasu!t	sajasu!t
סִיסְטֶמָה	sisTE!maH	siste!ma
סִיסְטֶמָטִי	sisTEma!Ti	sistema!ti
סִיסְטֶמָטִיקָה	sisTEma!TiqaH	sistema!tika
סִיסְטֶמִי	sisTE!mi	siste!mi
סִיסְמָה	sis3ma!H	sisma!
סֵיסְמוֹגְרָף	seYs3mWg3ra!f	sesmogra!f
סֵיְסְמוֹגְרָף	seysmWgra!f	sejsmogra!f
סֵיסְמוֹלוֹגְיָה	seYsmWlW!gyaH	sesmolo!gja
סֶיְסְמִי	sE!ysmi	se!jsmi
סִיֵּעַ	sI_ye!RÁ	sije!a
סַיָּע	sA_ya!R	saja!
סִיעָה	siRa!H	sia!
סַיְעָן	sAyRa!n	sajʔa!n
סַיַּעַת	sA_yA!RAt	saja!at
סִיעָתִי	siRati!	siati!
סִיעָתִיּוּת	siRatI_yu!t	siatiju!t
סִיֵּף	sI_ye!f	sije!f
סַיִף	sA!yIf	sa!if
סַיָּף	sA_ya!f	saja!f
סֵיפָא	se!YfaQ	se!fa
סֵיפָה	se!YfaH	se!fa
סִיפִילִיס	si!filis	si!filis
סִיצִילְיָה	siZi!lyaH	sitsi!lja
סִיקִי	si!qi	si!ki
סִיר	si!r	si!r
סִיֵּר	sI_ye!r	sije!r
סַיָּר	sA_ya!r	saja!r
סִירַאי	sirA!Ny	sira!j
סִירָה	sira!H	sira!
סִירוֹנִית	sirWni!t	sironi!t
סִירוֹפּ	sirW!_p	siro!p
סַיָּרוּת	sA_yaru!t	sajaru!t
סִירֶנָה	sirE!naH	sire!na
סִירְקוּלַצְיָה	sirqulA!ZyaH	sirkula!tsja
סַיֶּרֶת	sA_yE!rEt	saje!ret
סַךְ	sA!x	sa!x
סָךְ	sa!x	sa!x
סִכָּה	sI_ka!H	sika!
סָכָה	saxa!H	saxa!
סֻכָּה	sU_ka!H	suka!
סִכּוּי	sI_ku!y	siku!j
סָכוּי	saxu!y	saxu!j
סִכּוּךְ	sI_ku!x	siku!x
סָכוּךְ	saxu!x	saxu!x
סִכּוּל	sI_ku!l	siku!l
סְכוֹלַסְטִיקָה	s3xWlA!sTiqaH	sxola!stika
סְכוּם	s3xu!m	sxu!m
סִכּוּם	sI_ku!m	siku!m
סַכּוּם	sA_ku!m	saku!m
סָכוּם	saxu!m	saxu!m
סִכּוּן	sI_ku!n	siku!n
סָכוּף	saxu!f	saxu!f
סִכּוּר	sI_ku!r	siku!r
סָכוּר	saxu!r	saxu!r
סְכִיזוֹפְרֶן	sxizWfrE!n	sxizofre!n
סְכִיזוֹפְרֶנִי	sxizWfrE!ni	sxizofre!ni
סְכִיזוֹפְרֶנְיָה	sxizWfrE!nyaH	sxizofre!nja
סְכִיכָה	s3xixa!H	sxixa!
סָכִים	saxi!m	saxi!m
סְכִימָה	s3xima!H	sxima!
סַכִּין	sA_ki!n	saki!n
סַכִּינַאי	sA_kinA!Ny	sakina!j
סְכִירָה	s3xira!H	sxira!
סְכָךְ	s3xa!x	sxa!x
סִכֵּךְ	sI_ke!x	sike!x
סָכַךְ	saxA!x	saxa!x
סְכָכָה	s3xaxa!H	sxaxa!
סִכֵּל	sI_ke!l	sike!l
סֶכֶל	sE!xEl	se!xel
סָכַל	saxA!l	saxa!l
סָכָל	saxa!l	saxa!l
סֻכַּל	sU_kA!l	suka!l
סִכְלוּת	sIxlu!t	sixlu!t
סִכֵּם	sI_ke!m	sike!m
סֶכֶם	sE!xEm	se!xem
סָכַם	saxA!m	saxa!m
סֻכַּם	sU_kA!m	suka!m
סְכֵמָה	s3xe!maH	sxe!ma
סִכֵּן	sI_ke!n	sike!n
סִכָּן	sI_ka!n	sika!n
סַכָּנָה	sA_kana!H	sakana!
סִכְסוּךְ	sIxsu!x	sixsu!x
סִכְסֵךְ	sIxse!x	sixse!x
סִכְסָךְ	sIxsa!x	sixsa!x
סַכְסְכָן	sAxs3xa!n	saxsexa!n
סַכְסְכָנִי	sAxs3xani!	saxsexani!
סִכֵּר	sI_ke!r	sike!r
סֶכֶר	sE!xEr	se!xer
סָכַר	saxA!r	saxa!r
סֻכָּר	sU_ka!r	suka!r
סֻכָּרוֹז	sU_karW!z	sukaro!z
סֻכְּרָזִית	sU_k3razi!t	sukrazi!t
סַכֶּרֶת	sA_kE!rEt	sake!ret
סֻכֶּרֶת	sU_kE!rEt	suke!ret
סֻכַּרְתִּי	sU_kArṭi!	sukarti!
סַל	sA!l	sa!l
סֻלָּא	sU_la!Q	sula!
סֶלֶבּ	sElE!_b	sele!b
סֶלֶבְּרִיטַאי	sElE_b3riTA!Ny	selebrita!j
סֶלֶבְּרִיטִי	sElE!_b3riTi	sele!briti
סִלֵּד	sI_le!d	sile!d
סָלַד	salA!d	sala!d
סִלָּה	sI_la!H	sila!
סָלָה	sala!H	sala!
סִלּוּא	sI_lu!Q	silu!
סְלוֹבֶנְיָה	s3lWvE!nyaH	slove!nja
סְלוֹבַקְיָה	s3lWvA!qyaH	slova!kja
סִלּוּד	sI_lu!d	silu!d
סָלוּד	salu!d	salu!d
סָלוּחַ	salu!jÁ	salu!ax
סֶלוֹטֵיְפּ	sE!lWTeyp	se!lotejp
סִלּוּל	sI_lu!l	silu!l
סָלוּל	salu!l	salu!l
סֶלוּלָרִי	sElula!ri	selula!ri
סִלּוּם	sI_lu!m	silu!m
סִלּוֹן	sI_lW!n	silo!n
סַלּוֹן	sA_lW!n	salo!n
סָלוֹן	salW!n	salo!n
סָלוֹנִי	salW!ni	salo!ni
סִלּוּעַ	sI_lu!RÁ	silu!a
סָלוּעַ	salu!RÁ	salu!a
סְלוּפּ	s3lu!_p	slu!p
סִלּוּף	sI_lu!f	silu!f
סִלּוּק	sI_lu!q	silu!k
סָלוּק	salu!q	salu!k
סָלַח	salA!j	sala!x
סַלְחָן	sAlja!n	salxa!n
סַלְחָנִי	sAljani!	salxani!
סָלָט	sala!T	sala!t
סֻלְטַאן	sUlTA!Nn	sulta!n
סֻלְטָאן	sUlTa!Nn	sulta!n
סַלְטוֹ	sA!lTW	sa!lto
סְלִידָה	s3lida!H	slida!
סֻלְיָה	sUlya!H	sulja!
סָלִיחַ	sali!jÁ	sali!ax
סְלִיחָה	s3lija!H	slixa!
סְלִיל	s3li!l	sli!l
סְלִילָה	s3lila!H	slila!
סְלִילִי	s3lili!	slili!
סְלִילָנִי	s3lilani!	slilani!
סְלִיק	s3li!q	sli!k
סְלִיקָה	s3liqa!H	slika!
סָלַל	salA!l	sala!l
סִלֵּם	sI_le!m	sile!m
סֻלָּם	sU_la!m	sula!m
סָלָמִי	sala!mi	sala!mi
סֻלָּמִית	sU_lami!t	sulami!t
סָלָמַנְדְּרָה	salamA!nḍ3raH	salama!ndra
סְלֶנְג	slE!ng	sle!ng
סְלֶנְגִּי	s3lE!nǵi	sle!ngi
סֶלֶנְיוּם	sElE!nyum	sele!njum
סִלְסוּל	sIlsu!l	silsu!l
סִלְסֵל	sIlse!l	silse!l
סֻלְסַל	sUlsA!l	sulsa!l
סַלְסִלָּה	sAlsI_la!H	salsila!
סַלְסָלָה	sAlsala!H	salsala!
סֶלַע	sE!lAR	se!la
סַלְעִי	sAlRi!	salʔi!
סַלְעִית	sAlRi!t	salʔi!t
סִלֵּף	sI_le!f	sile!f
סֻלַּף	sU_lA!f	sula!f
סֶלְפִי	sE!lfi	se!lfi
סַלְפָן	sAlfa!n	salfa!n
סִלֵּק	sI_le!q	sile!k
סֶלֶק	sE!lEq	se!lek
סַלָּק	sA_la!q	sala!k
סָלַק	salA!q	sala!k
סֻלַּק	sU_lA!q	sula!k
סֶלֶקְטוֹר	sElE!qTWr	sele!ktor
סֶלֶקְטִיבִי	sElEqTi!vi	selekti!vi
סֶלֶרִי	sE!lEri	se!leri
סִלֵּת	sI_le!t	sile!t
סֹלֶת	so!lEt	so!let
סַם	sA!m	sa!m
סִמֵּא	sI_me!Q	sime!
סָמָא	sama!Q	sama!
סַמְבָּה	sA!mbaH	sa!mba
סַמְבּוּסָק	sAmbu!saq	sambu!sak
סַמְגָּד	sAmǵa!d	samga!d
סִמּוּא	sI_mu!Q	simu!
סִמּוּי	sI_mu!y	simu!j
סָמוּי	samu!y	samu!j
סִמּוּךְ	sI_mu!x	simu!x
סָמוּךְ	samu!x	samu!x
סִמּוּכִין	sI_muxi!n	simuxi!n
סִמּוּל	sI_mu!l	simu!l
סִמּוּם	sI_mu!m	simu!m
סִמּוּן	sI_mu!n	simu!n
סִמּוּס	sI_mu!s	simu!s
סִמּוּק	sI_mu!q	simu!k
סָמוּק	samu!q	samu!k
סִמּוּר	sI_mu!r	simu!r
סַמּוּר	sA_mu!r	samu!r
סָמוּר	samu!r	samu!r
סָמוּרַאי	samurA!Ny	samura!j
סַמְחָט	sAmja!T	samxa!t
סִמְטָה	sImTa!H	simta!
סָמָטוֹחָה	samaTW!jaH	samato!xa
סֶמְיוֹטִיקָה	sEmyW!TiqaH	semjo!tika
סָמִיךְ	sami!x	sami!x
סְמִיכָה	s3mixa!H	smixa!
סְמִיכוּת	s3mixu!t	smixu!t
סְמַיְלִי	smA!yli	sma!jli
סֵמִינַרְיוֹן	seminAryW!n	seminarjo!n
סֶמִינַרְיוֹנִי	sEminAryW!ni	seminarjo!ni
סֶמִיקוֹנְדּוּקְטוֹר	sEmiqWnḍu!qTWr	semikondu!ktor
סְמִירָה	s3mira!H	smira!
סִמֵּךְ	sI_me!x	sime!x
סֶמֶךְ	sE!mEx	se!mex
סָמֶךְ	sa!mEx	sa!mex
סָמַךְ	samA!x	sama!x
סַמְכוּת	sAmxu!t	samxu!t
סַמְכוּתִי	sAmxuti!	samxuti!
סִמֵּל	sI_me!l	sime!l
סֵמֶל	se!mEl	se!mel
סֶמֶל	sE!mEl	se!mel
סַמָּל	sA_ma!l	sama!l
סֻמַּל	sU_mA!l	suma!l
סִמְלִי	sImli!	simli!
סַמְלִיל	sAmli!l	samli!l
סִמְלֵץ	sImle!Z	simle!ts
סִמֵּם	sI_me!m	sime!m
סֻמַּם	sU_mA!m	suma!m
סַמְמָן	sAm3ma!n	samema!n
סִמֵּן	sI_me!n	sime!n
סַמָּן	sA_ma!n	sama!n
סֻמַּן	sU_mA!n	suma!n
סֶמַנְטִי	sEmA!nTi	sema!nti
סֵמַנְטִיקָה	semA!nTiqaH	sema!ntika
סֶמַנְטִיקָה	sEmA!nTiqaH	sema!ntika
סָמַנְכָּל	samAnka!l	samanka!l
סֵמֶסְטֶר	semE!sTEr	seme!ster
סִמְסֵם	sImse!m	simse!m
סֶמָפוֹר	sE!mafWr	se!mafor
סִמְפֵּת	sImpe!t	simpe!t
סִמֵּק	sI_me!q	sime!k
סָמַק	samA!q	sama!k
סֹמֶק	so!mEq	so!mek
סִמֵּר	sI_me!r	sime!r
סִמַּר	sI_mA!r	sima!r
סָמַר	samA!r	sama!r
סֻמַּר	sU_mA!r	suma!r
סְמַרְטוּט	s3mArTu!T	smartu!t
סְמַרְטוּטִי	s3mArTuTi!	smartuti!
סְמַרְטוּטָר	s3mArTuTa!r	smartuta!r
סְמֶרְק	s3mE!rq	sme!rk
סִמְרֵר	sImre!r	simre!r
סֶנָאט	sEna!NT	sena!t
סְנָאִי	s3naQi!	snai!
סִנְגּוּר	sInǵu!r	singu!r
סָנֵגוֹר	sanegW!r	sanego!r
סֶנֶגָל	sEnEga!l	senega!l
סִנְגֵּר	sInǵe!r	singe!r
סַנְגֵ׳ר	sA!nGer	sa!ndʒer
סֶנְדְבִיצִ׳יָּה	sEnd3viCI_ya!H	sendvitʃija!
סֶנְדְּוִיצ׳	sE!nḍwiC	se!ndvitʃ
סִנְדֵּל	sInḍe!l	sinde!l
סַנְדָּל	sAnḍa!l	sanda!l
סֻנְדַּל	sUnḍA!l	sunda!l
סַנְדָּק	sAnḍa!q	sanda!k
סַנְדָּקוּת	sAnḍaqu!t	sandaku!t
סְנֶה	s3nE!H	sne!
סַנְהֶדְרִין	sAnhEdri!n	sanhedri!n
סְנוֹבּ	s3nW!_b	sno!b
סְנוֹבּוֹרְד	snW!_bWrd	sno!bord
סְנוֹבִּי	snW!_bi	sno!bi
סְנוֹבִּיּוּת	snW!_bI_yut	sno!bijut
סְנוֹבִּיזְם	snW_bi!zm	snobi!zm
סִנְווּר	sInwu!r	sinvu!r
סָנוּט	sanu!T	sanu!t
סִנּוּן	sI_nu!n	sinu!n
סְנוּנִית	s3nuni!t	snuni!t
סִנּוּף	sI_nu!f	sinu!f
סָנוּק	sanu!q	sanu!k
סְנוּקֶר	s3nu!qEr	snu!ker
סִנְוֵר	sInwe!r	sinve!r
סֻנְוַר	sUnwA!r	sunva!r
סַנְוֵרִים	sAnweri!m	sanveri!m
סֵנָט	sena!T	sena!t
סֶנָט	sEna!T	sena!t
סָנַט	sanA!T	sana!t
סֵנָטוֹר	sena!TWr	sena!tor
סֶנָטוֹר	sEna!TWr	sena!tor
סֶנְטִימֶטֶר	sEnTimE!TEr	sentime!ter
סֶנְטִימֶנְט	sEnTimE!nT	sentime!nt
סֶנְטִימֶנְטָלִי	sEnTimEnTa!li	sentimenta!li
סֶנְטִימֶנְטָלִיוּת	sEnTimEnTa!lIyut	sentimenta!lijut
סֶנְטֶר	sE!nTEr	se!nter
סַנְטֵר	sAnTe!r	sante!r
סֶנְיוֹר	sEnyW!r	senjo!r
סֵנְיוֹרַאז׳	senyWrA!NJ	senjora!ʒ
סְנִיטָה	s3niTa!H	snita!
סָנִיטָר	saniTa!r	sanita!r
סָנִיטָרִי	saniTa!ri	sanita!ri
סֵנִילִי	seni!li	seni!li
סֶנִילִי	sEni!li	seni!li
סְנִיף	s3ni!f	sni!f
סְנִיקָה	s3niqa!H	snika!
סִנְכְרֵן	sInx3re!n	sinxre!n
סֻנְכְּרַן	sUnk3rA!n	sunkra!n
סִנֵּן	sI_ne!n	sine!n
סַנָּן	sA_na!n	sana!n
סֻנַּן	sU_nA!n	suna!n
סֶנְסַצְיוֹנִי	sEnsAZyW!ni	sensatsjo!ni
סַנְסְקְרִיט	sA!nsq3riT	sa!nskrit
סִנֵּף	sI_ne!f	sine!f
סָנַף	sanA!f	sana!f
סֻנַּף	sU_nA!f	suna!f
סְנַפִּיר	s3nA_pi!r	snapi!r
סְנַפִּירִית	s3nA_piri!t	snapiri!t
סִנֵּק	sI_ne!q	sine!k
סָנַק	sanA!q	sana!k
סַנְקְצְיָה	sA!nqZyaH	sa!nktsja
סִנְתּוּז	sInṭu!z	sintu!z
סִנְתֵּז	sInṭe!z	sinte!z
סֻנְתַּז	sUnṭA!z	sunta!z
סָס	sa!s	sa!s
סַסְגּוֹנִי	sAsǵWni!	sasgoni!
סִסְמָה	sIsma!H	sisma!
סִעֵד	sIRe!d	sie!d
סַעַד	sA!RAd	sa!ad
סָעַד	saRA!d	saa!d
סְעֻדָּה	s3RU_ḍa!H	seuda!
סָעָה	saRa!H	saa!
סִעוּד	sIRu!d	siu!d
סָעוּד	saRu!d	sau!d
סְעוּדָה	s3Ruda!H	seuda!
סִעוּדִי	sIRudi!	siudi!
סָעוּדְיָה	saRu!d3yaH	sau!dja
סִעוּף	sIRu!f	siu!f
סִעוּר	sIRu!r	siu!r
סָעוּר	saRu!r	sau!r
סְעִידָה	s3Rida!H	seida!
סְעִיף	s3Ri!f	sei!f
סְעִירָה	s3Rira!H	seira!
סִעֵף	sIRe!f	sie!f
סַעֶפֶת	sARE!fEt	sae!fet
סָעֶפֶת	saRE!fEt	sae!fet
סִעֵר	sIRe!r	sie!r
סַעַר	sA!RAr	sa!ar
סָעַר	saRA!r	saa!r
סְעָרָה	s3Rara!H	seara!
סַף	sA!f	sa!f
סָף	sa!f	sa!f
סְפָּאם	spa!Nm	spa!m
סָפָארִי	safa!Nri	safa!ri
סִפֵּג	sI_pe!g	sipe!g
סָפַג	safA!g	safa!g
סְפָּגֵטִי	s3page!Ti	spage!ti
סְפָּגֶטִי	spagE!Ti	spage!ti
סַפְגָּן	sAfǵa!n	safga!n
סֻפְגָנִיָּה	sUfganI_ya!H	sufganija!
סֻפְגָּנִיָּה	sUfǵanI_ya!H	sufganija!
סֻפְגָּנִית	sUfǵani!t	sufgani!t
סָפַד	safA!d	safa!d
סַפְדָּן	sAfḍa!n	safda!n
סַפְדָן	sAfda!n	safda!n
סַפָּה	sA_pa!H	sapa!
סָפָה	safa!H	safa!
סְפוֹג	s3fW!g	sfo!g
סָפוּג	safu!g	safu!g
סְפוֹגִי	s3fWgi!	sfogi!
סְפוֹגִית	s3fWgi!t	sfogi!t
סָפוּד	safu!d	safu!d
סִפּוּחַ	sI_pu!jÁ	sipu!ax
סָפוּחַ	safu!jÁ	safu!ax
סְפּוֹיְלֶר	spW!ylEr	spo!jler
סִפּוּן	sI_pu!n	sipu!n
סָפוּן	safu!n	safu!n
סִפּוּנַאי	sI_punA!Ny	sipuna!j
סְפּוֹנְגָ׳ה	spW!nGaH	spo!ndʒa
סְפּוֹנְטָנִי	spWnTa!ni	sponta!ni
